rank,journal_name_raw,journal_name_standard,match_note,cas_2025_zone,cas_2025_top,cas_2025_oa,cas_2025_major_category,cas_2025_minor_category_reference,jcr_2024_jif,jcr_2024_quartile,issn,eissn,publisher,xr_2026_zone,xr_2026_top,xr_2026_major_category,xr_2026_minor_category_reference,source_note
43,Journal of Racial and Ethnic Health Disparities,JOURNAL OF RACIAL AND ETHNIC HEALTH DISPARITIES,,Zone 3,否,否,医学,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SSCI)",2.4,Q2,,,,Zone 3,No,Medicine,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
44,International Review of Economics & Finance,INTERNATIONAL REVIEW OF ECONOMICS & FINANCE,,Zone 2,否,否,经济学,"BUSINESS, FINANCE(SSCI);ECONOMICS(SSCI)",5.6,Q1,,,,Zone 1,Yes,Economics,"BUSINESS, FINANCE(SSCI);ECONOMICS(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
45,Journal of Retailing and Consumer Services,JOURNAL OF RETAILING AND CONSUMER SERVICES,,Zone 1,是,否,管理学,BUSINESS(SSCI),13.1,Q1,,,,Zone 1,Yes,Management Science,BUSINESS(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
46,Energy Research & Social Science,ENERGY RESEARCH & SOCIAL SCIENCE,,Zone 2,否,否,经济学,ENVIRONMENTAL STUDIES(SSCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SSCI),7.4,Q1,,,,Zone 1,Yes,Economics,ENVIRONMENTAL STUDIES(SSCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
47,WORK-A Journal of Prevention Assessment & Rehabilitation,WORK-A JOURNAL OF PREVENTION ASSESSMENT & REHABILITATION,,Zone 4,否,否,医学,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SSCI)",1.5,Q3,,,,Zone 4,No,Medicine,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
48,Journal of Economic Behavior & Organization,JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,,Zone 3,否,否,经济学,ECONOMICS(SSCI),2.3,Q2,,,,Zone 2,No,Economics,ECONOMICS(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
49,Psychology Research and Behavior Management,PSYCHOLOGY RESEARCH AND BEHAVIOR MANAGEMENT,,Zone 3,否,是,心理学,"PSYCHOLOGY, CLINICAL(SSCI);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",3.2,Q1,,,,Zone 2,Yes,Psychology,"PSYCHOLOGY, CLINICAL(SSCI);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
50,Computers in Human Behavior,COMPUTERS IN HUMAN BEHAVIOR,,Zone 1,是,否,心理学,"PSYCHOLOGY, EXPERIMENTAL(SSCI);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",8.9,Q1,07475632,-,Elsevier Ltd,Zone 1,Yes,Psychology,"PSYCHOLOGY, EXPERIMENTAL(SSCI);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
51,Economic Modelling,ECONOMIC MODELLING,,Zone 2,否,否,经济学,ECONOMICS(SSCI),4.7,Q1,,,,Zone 2,Yes,Economics,ECONOMICS(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
52,Sustainable Development,SUSTAINABLE DEVELOPMENT,,Zone 2,否,否,环境科学与生态学,DEVELOPMENT STUDIES(SSCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SSCI);REGIONAL & URBAN PLANNING(SSCI),8.2,Q1,,,,Zone 1,Yes,Environment Science and Ecology,DEVELOPMENT STUDIES(SSCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SSCI);REGIONAL & URBAN PLANNING(SSCI),CAS latest available on local machine is 2025; XR latest available on local machine is 2026.
